filiacao,familiares,familiares_quais,motivacao,tempo_existencia,peso_escolha,qualidade_programa,qualidade_lideres_nacionais,qualidade_lideres_regionais,bancadas_congresso,bancadas_estaduais_municipais,agenda_partido,agricultura_pecuária,educação,esportes_lazer,infraestrutura_urbana,saude,trabalho_emprego,transportes_publicos,artes_cultura,ciencia_tecnologia_inovacao,combate_homofobia,combate_racismo,igualdade_genero,meio_ambiente,representacao_mulheres_política,atividades_partido,atividades_formacao_politica,atuacao_campanhas_eleitorais,atuacao_campanhas_filiacao,cargos_administracao,concorrer_eleicao,cargos_pretende_concorrer,experiencia_importante,experiencia_comentario,idade,renda_familiar_mensal,escolaridade,area_formacao,religiao,situacao_ocupacional,setor_ocupacao,cor_raca,local_residencia,regiao_residencia,partido,espectro,materialista,pos_materialista,agenda,filiacao_familiar,filiacao_estudantil,filiacao_social,interior,metropolitana,capital,influencia_filiacao,espectro_binario,sexo,ponderacao
2,2,1,4,3,1,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,1,3,3,1,3,6,2,1,1,3,3,8,3,1,2,2,5,1,4,4,1,2,1,5,24,40,5,2.25,1,0,1,0,0,0,1,2,0,1,1.1039
2,2,1,4,1,3,5,5,5,5,5,5,3,5,2,4,5,5,4,1,3,1,2,2,1,2,37,10,1,1,2,2,1,7,1,2,6,6,1,7,3,1,2,1,2,30,40,4.333333333333333,1.75,1,0,1,0,0,0,1,2,0,1,1.1039
2,2,1,4,3,1,5,5,5,5,5,5,2,5,2,4,5,5,5,2,4,2,3,3,1,3,51,32,1,1,1,1,1,3,96,2,6,2,1,2,1,1,1,1,4,30,40,4.333333333333333,2.5,1,0,1,0,0,0,1,2,0,1,1.1039
2,2,1,4,3,3,5,5,5,5,5,5,1,5,1,5,5,5,5,1,3,3,3,3,1,3,51,32,1,1,2,2,1,3,96,2,4,6,1,2,1,1,1,1,4,30,40,4.333333333333333,2.25,1,0,1,0,0,0,1,2,0,1,1.1039
3,1,5,9,3,1,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,1,3,3,1,3,6,32,4,5,2,2,1,3,1,2,2,5,1,4,2,5,2,1,5,24,40,5,2.25,1,0,0,1,0,0,1,3,0,1,1.1039
3,2,1,9,3,1,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,1,3,3,1,3,3,29,1,1,3,3,8,3,1,3,2,3,1,4,2,3,2,1,5,24,40,5,2.25,1,0,0,1,0,0,1,3,0,1,1.1039
3,2,1,9,3,1,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,1,3,3,1,3,3,21,1,1,1,1,1,3,1,1,2,2,1,4,4,1,2,1,5,24,40,5,2.25,1,0,0,1,0,0,1,3,0,1,1.1039
3,2,1,9,3,1,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,1,3,3,1,3,3,32,1,1,3,3,11,3,1,3,2,5,1,4,2,4,2,1,5,24,40,5,2.25,1,0,0,1,0,0,1,3,0,1,1.1039
3,2,1,9,3,1,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,1,3,3,1,3,1,29,1,1,3,3,8,3,1,2,2,4,5,4,2,5,2,1,5,24,40,5,2.25,1,0,0,1,0,0,1,3,0,1,1.1039
3,3,5,16,3,1,5,5,5,5,5,5,3,5,3,4,5,5,4,1,3,3,3,3,3,3,3,2,1,1,3,3,7,3,48,2,2,5,1,5,3,1,4,1,4,33,40,4.333333333333333,2.75,1,0,0,1,0,0,1,3,0,1,1.1039
4,2,1,4,3,2,5,5,5,5,5,5,4,5,1,4,5,4,4,1,3,1,1,1,1,1,4,34,4,5,1,1,1,7,1,1,4,1,1,3,4,1,2,1,1,13,40,4.333333333333333,1.25,1,0,0,0,0,0,1, ,0,1,1.1039
4,2,1,4,1,1,5,5,5,5,5,5,5,5,1,4,4,5,4,2,3,1,1,1,1,1,37,32,4,1,3,3,4,7,1,2,6,5,1,5,4,1,4,1,2,13,40,4.5,1375,1,0,0,0,0,0,1, ,0,1,1.1039
4,2,1,4,1,1,5,5,5,5,5,5,5,5,1,4,5,5,4,1,2,1,1,1,1,1,36,29,1,1,3,3,4,7,1,2,5,6,1,2,3,1,2,1,2,13,40,4.666666666666667,1125,1,0,0,0,0,0,1, ,0,1,1.1039
4,2,1,20,1,1,5,5,5,5,5,5,4,5,1,4,5,5,4,1,3,1,1,1,1,1,37,2,1,1,3,3,4,7,1,2,2,4,3,6,2,5,2,1,2,13,40,4.5,1.25,1,0,0,0,0,0,1, ,0,1,1.1039
4,2,1,4,3,1,5,5,5,5,5,5,5,5,1,5,5,5,5,1,3,1,1,1,1,1,4,34,1,1,1,1,1,7,1,2,3,5,1,5,3,1,1,1,5,24,40,5,1.25,1,0,0,0,0,0,1, ,0,1,1.1039
4,2,1,22,3,1,5,5,5,5,5,5,5,5,1,4,5,4,4,1,1,1,1,1,2,1,1,34,1,1,1,1,1,7,1,1,3,6,1,4,3,1,1,1,5,24,40,4.5,1125,1,0,0,0,0,0,1, ,0,1,1.1039
4,2,1,22,3,1,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,1,2,3,1,4,6,20,1,1,3,3,8,3,1,3,2,4,5,4,2,5,2,1,4,24,40,5,2.25,1,0,0,0,0,0,1, ,0,1,1.1039
4,2,1,16,1,3,5,5,5,5,5,5,1,5,2,4,4,4,4,3,3,3,3,3,5,3,3,1,1,1,2,2,1,7,1,1,2,5,1,3,1,1,5,1,4,34,40,3.6666666666666665,3125,1,0,0,0,0,0,1, ,0,1,1.1039
4,2,1,17,1,3,5,5,5,5,5,5,1,5,2,4,4,4,4,3,4,3,3,3,5,3,40,1,1,1,2,2,1,7,1,1,3,6,1,3,4,1,2,1,4,34,40,3.6666666666666665,3.25,1,0,0,0,0,0,1, ,0,1,1.1039
5,3,2,22,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,1,1,1,1,1,4,34,1,1,3,3,2,7,1,3,2,3,1,2,2,4,2,1,4,11,40,5,1.75,1,1,0,0,0,0,1,1,0,1,1.1039
5,3,2,22,1,1,5,5,5,5,5,5,5,5,1,5,5,5,5,1,3,1,1,3,1,3,3,29,1,1,3,3,8,7,1,3,6,4,5,2,2,5,4,1,1,11,40,5,1.75,1,1,0,0,0,0,1,1,0,1,1.1039
5,3,2,22,1,1,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,1,1,3,1,3,3,32,1,1,3,3,8,7,1,2,6,4,5,2,3,1,4,1,4,11,40,5,2,1,1,0,0,0,0,1,1,0,1,1.1039
5,3,2,22,1,1,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,1,2,3,2,3,3,29,1,1,3,3,8,7,1,2,2,6,1,2,2,4,1,1,2,11,40,5,2.25,1,1,0,0,0,0,1,1,0,1,1.1039
5,3,2,22,1,1,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,1,2,3,1,3,3,29,1,1,3,3,8,3,1,2,6,4,4,5,2,4,2,1,4,11,40,5,2125,1,1,0,0,0,0,1,1,0,1,1.1039
5,3,3,22,1,1,5,5,5,5,5,5,5,5,2,5,5,5,5,1,3,1,1,3,1,3,6,34,4,5,3,3,11,7,1,2,6,5,1,2,2,4,2,1,4,11,40,5,1875,1,1,0,0,0,0,1,1,0,1,1.1039
5,3,5,22,1,1,5,5,5,5,5,5,5,5,1,5,5,5,5,1,4,1,1,1,1,1,7,29,1,1,3,3,2,3,1,2,2,4,2,2,2,4,2,1,4,11,40,5,1375,1,1,0,0,0,0,1,1,0,1,1.1039
5,3,2,22,1,1,5,5,5,5,5,5,4,5,1,4,5,5,5,1,3,1,1,1,1,1,3,32,1,1,2,2,1,7,1,2,6,4,3,5,2,5,1,1,4,13,40,4.666666666666667,1.25,1,1,0,0,0,0,1,1,0,1,1.1039
5,3,4,22,1,2,5,5,5,5,5,5,5,5,1,3,5,5,4,1,3,1,1,1,1,1,3,32,1,1,3,3,2,7,1,1,2,4,2,2,2,5,2,1,4,13,40,4.5,1.25,1,1,0,0,0,0,1,1,0,1,1.1039
5,3,3,22,3,1,5,5,5,5,5,5,5,5,1,5,5,4,4,1,3,1,1,1,1,1,15,34,4,5,1,1,1,7,1,1,3,6,1,4,4,1,1,1,5,24,40,4.666666666666667,1.25,1,1,0,0,0,0,1,1,0,1,1.1039
5,3,5,22,3,1,5,5,5,5,5,5,5,5,1,3,5,5,5,1,3,1,1,1,1,1,15,29,1,1,3,3,4,7,1,3,6,2,1,3,3,1,4,1,4,30,40,4.666666666666667,1.25,1,1,0,0,0,0,1,1,0,1,1.1039
6,2,1,17,1,3,5,5,5,5,5,5,1,5,2,4,4,4,5,3,3,3,3,3,5,3,6,3,1,1,2,2,1,7,1,3,2,6,1,4,3,1,2,1,4,34,40,3.8333333333333335,3125,1,0,0,0,0,0,1, ,0,1,1.1039
6,2,1,16,1,3,5,5,3,4,5,5,1,4,1,4,4,4,4,3,3,3,3,3,5,3,9,1,1,1,1,1,1,7,93,3,2,3,1,6,2,4,2,1,4,34,40,3.5,3,1,0,0,0,0,0,1, ,0,1,1.1039
2,2,1,4,3,3,5,5,5,5,5,5,1,5,1,5,1,5,2,2,5,3,3,3,3,3,40,32,1,1,1,1,1,3,90,2,6,4,5,4,3,1,2,2,4,30,40,3.1666666666666665,2875,1,0,1,0,1,0,0,2,0,1,1.1039
2,2,1,4,3,3,5,5,5,5,5,5,1,5,1,5,5,5,5,2,5,1,3,3,1,3,51,29,1,1,2,2,1,3,25,3,6,4,4,4,3,1,2,2,4,30,40,4.333333333333333,2375,1,0,1,0,1,0,0,2,0,1,1.1039
3,2,1,9,3,1,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,1,3,3,1,3,3,32,1,1,2,2,1,3,1,1,2,5,1,4,4,1,2,2,4,24,40,5,2.25,1,0,0,1,1,0,0,3,0,1,1.1039
4,2,1,22,1,1,5,5,5,5,5,5,5,5,1,5,5,5,5,1,3,1,1,1,1,1,15,34,4,5,3,3,6,7,1,1,3,6,1,2,4,1,1,2,2,11,40,5,1.25,1,0,0,0,1,0,0, ,0,1,1.1039
4,2,1,22,3,1,5,5,5,5,5,5,5,5,1,3,4,5,5,1,2,1,1,1,1,1,15,34,1,1,1,1,1,7,1,3,4,3,1,3,1,1,4,2,3,13,40,4.5,1125,1,0,0,0,1,0,0, ,0,1,1.1039
5,3,2,22,1,1,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,1,2,3,1,3,3,32,1,1,3,3,12,7,1,1,6,2,1,2,4,1,1,2,5,11,40,5,2125,1,1,0,0,1,0,0,1,0,1,1.1039
5,3,2,22,1,1,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,1,3,3,1,3,3,29,1,1,3,3,10,7,1,3,2,4,6,2,2,5,3,2,5,11,40,5,2.25,1,1,0,0,1,0,0,1,0,1,1.1039
5,3,2,22,1,1,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,1,1,3,1,3,3,29,1,1,3,3,2,7,1,3,2,6,1,2,2,4,1,2,5,11,40,5,2,1,1,0,0,1,0,0,1,0,1,1.1039
5,3,3,22,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,1,1,3,1,3,3,29,1,1,3,3,12,7,1,2,2,4,3,2,2,4,2,2,4,11,40,5,2625,1,1,0,0,1,0,0,1,0,1,1.1039
5,3,3,22,1,1,5,5,5,5,5,5,5,5,1,5,5,5,5,1,2,2,2,3,1,3,3,32,1,1,3,3,2,7,1,2,6,6,1,2,2,5,2,2,2,11,40,5,1875,1,1,0,0,1,0,0,1,0,1,1.1039
2,2,1,4,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,3,3,3,25,16,6,8,2,2,1,7,1,1,5,2,1,4,4,1,2,4,2,11,40,5,3.25,1,0,1,0,0,1,0,2,0,1,1.1039
2,2,1,4,3,1,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5, ,3,3,1,3,6,32,1,1,3,3,8,3,1,2,2,4,2,4,2,4,2,4,5,24,40,5,2.4285714285714284,1,0,1,0,0,1,0,2,0,1,1.1039
2,2,1,4,3,3,5,5,5,5,5,5,1,5,1,2,5,5,5,2,4,3,3,3,3,3,3,32,1,1,1,1,1,3,57,3,6,5,1,2,1,1,2,4,4,30,40,3.8333333333333335,2.75,1,0,1,0,0,1,0,2,0,1,1.1039
2,2,1,4,2,1,5,5,5,5,5,5,5,5,1,5,5,5,5,1,1,1,1,1,2,2,4,34,1,4,1,1,1,3,95,2,6,5,1,5,1,1,2,4,5,36,40,5,1.25,1,0,1,0,0,1,0,2,0,1,1.1039
2,2,1,6,3,1,5,5,4,4,5,5,5,5,1,5,5,5,5,2,3,2,2,2,3,3,7,35,3,3,1,1,1,3,15,2,6,6,1,6,4,1,4,4,4,36,40,5,2.25,1,0,1,0,0,1,0,2,0,1,1.1039
3,2,1,9,3,1,5,5,5,5,5,5,5,5,2,5,5,5,5,2,5,2,3,4,1,4,4,20,4,5,3,3,8,3,1,2,2,5,1,4,2,5,2,4,5,24,40,5,2875,1,0,0,1,0,1,0,3,0,1,1.1039
3,2,1,9,3,1,5,5,5,5,5,5,5,5,3,5,5,5,5,1,3,2,2,2,3,2,18,35,1,1,1,1,1,4,24,3,6,3,1,6,2,4,2,4,2,36,40,5,2.25,1,0,0,1,0,1,0,3,0,1,1.1039
3,2,1,9,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,2,3,5,35,1,1,1,1,1,4,1,1,2,2,1,5,4,1,2,4,1,36,40,5,1875,1,0,0,1,0,1,0,3,0,1,1.1039
4,2,1,20,3,2,5,4,4,4,5,5,5,5,1,3,5,4,3,1,2,1,1,1,1,1,11,8,4,5,1,1,1,7,1,3,6,6,1,6,1,1,4,4,4,13,40,4.166666666666667,1125,1,0,0,0,0,1,0, ,0,1,1.1039
4,2,1,20,3,2,5,5,5,5,5,5,5,5,1,4,5,5,5,1,1,1,1,1,1,1,42,18,4,5,2,2,1,7,1,2,5,6,1,3,4,1,4,4,2,13,40,4.833333333333333,1,1,0,0,0,0,1,0, ,0,1,1.1039
4,2,1,22,3,1,5,5,5,5,5,5,5,5,1,4,5,5,4,1,3,1,1,1,1,1,15,34,1,1,2,2,1,7,1,2,5,5,1,3,2,5,4,4,4,13,40,4.666666666666667,1.25,1,0,0,0,0,1,0, ,0,1,1.1039
4,2,1,4,3,1,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,3,3,3,2,4,3,29,1,1,3,3,9,3,1,3,2,3,1,4,2,2,2,4,5,24,40,5,2.75,1,0,0,0,0,1,0, ,0,1,1.1039
4,3,5,19,3,1,5,5,5,5,5,5,2,4,1,4,4,5,4,1,2,2,3,3,2,3,40,32,3,3,3,3,7,3,48,1,5,2,1,3,1,1,4,4,3,33,40,3.8333333333333335,2125,1,0,0,0,0,1,0, ,0,1,1.1039
4,2,1,22,2,1,5,5,5,5,5,5,5,5,3,5,5,5,5,2,3,2,2,2,3,2,1,34,1,4,1,1,1,3,35,2,6,6,1,6,3,1,4,4,4,36,40,5,2375,1,0,0,0,0,1,0, ,0,1,1.1039
5,3,2,22,1,1,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,2,2,5,1,3,21,34,1,1,3,3,2,7,1,3,2,5,1,2,2,4,1,4,5,11,40,5,3,1,1,0,0,0,1,0,1,0,1,1.1039
5,3,2,22,1,1,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,1,1,3,1,3,19,32,1,1,3,3,2,7,1,3,2,5,1,2,2,4,1,4,4,11,40,5,2,1,1,0,0,0,1,0,1,0,1,1.1039
5,3,3,22,1,1,5,5,5,5,5,5,5,5,1,5,5,5,5,2,4,1,2,3,1,3,6,34,1,1,3,3,10,7,1,3,5,5,1,2,2,4,1,4,5,11,40,5,2125,1,1,0,0,0,1,0,1,0,1,1.1039
5,3,5,22,1,1,5,5,5,5,5,5,5,5,1,4,5,5,3,1,1,1,1,1,1,1,10,34,1,1,3,3,2,7,1,2,2,4,4,3,2,4,2,4,2,11,40,4.5,1,1,1,0,0,0,1,0,1,0,1,1.1039
5,3,5,22,1,1,5,5,5,5,5,5,5,5,1,3,5,4,4,1,1,1,1,1,1,1,15,34,1,1,3,3,2,2,1,1,5,2,1,2,4,1,2,4,4,11,40,4.333333333333333,1,1,1,0,0,0,1,0,1,0,1,1.1039
5,3,2,22,3,1,5,5,5,5,5,5,5,5,1,5,5,5,5,1,4,1,1,1,1,1,4,34,1,1,3,3,3,7,1,3,2,3,1,6,2,2,2,4,4,24,40,5,1375,1,1,0,0,0,1,0,1,0,1,1.1039
5,3,3,22,3,1,5,5,5,5,5,5,5,5,1,5,5,5,5,1,4,1,1,1,1,1,1,29,1,1,3,3,3,7,1,3,4,5,1,4,1,1,2,4,4,24,40,5,1375,1,1,0,0,0,1,0,1,0,1,1.1039
5,3,5,22,3,1,5,5,5,5,5,5,5,5,1,3,5,5,5,1,1,1,1,1,1,1,1,34,1,1,2,2,1,7,1,2,2,6,1,2,3,1,2,4,2,30,40,4.666666666666667,1,1,1,0,0,0,1,0,1,0,1,1.1039
5,3,2,22,3,1,5,5,5,5,5,5,3,5,2,5,3,5,4,1,3,3,3,3,3,3,3,2,1,1,3,3,7,3,66,2,2,2,1,5,1,1,4,4,4,33,40,4.166666666666667,2625,1,1,0,0,0,1,0,1,0,1,1.1039
6,2,1,4,3,1,5,5,5,5,5,5,3,5,2,4,5,5,5,2,3,3,3,3,2,2,28,18,4,5,1,1,1,7,112,3,5,4,4,3,1,1,4,4,4,13,40,4.5,2.5,1,0,0,0,0,1,0, ,0,1,1.1039
6,2,1,16,3,1,5,5,5,5,5,5,1,5,1,5,5,5,5,3,5,3,3,5,5,5,6,3,1,1,3,3,11,3,2,3,2,3,1,4,2,4,2,4,4,34,40,4.333333333333333,3.75,1,0,0,0,0,1,0, ,0,1,1.1039
6,2,1,4,3,1,5,5,5,5,5,5,2,5,3,4,5,5,5,3,4,3,3,4,5,3,4,1,1,1,3,3,7,7,1,2,5,2,1,3,1,1,2,4,4,34,40,4.333333333333333,3.5,1,0,0,0,0,1,0, ,0,1,1.1039
6,2,1,4,3,1,5,5,5,5,5,5,1,5,1,5,5,5,5,2,4,3,3,3,3,3,5,1,4,5,3,3,8,7,23,2,5,2,1,3,3,1,5,4,3,34,40,4.333333333333333,2.75,1,0,0,0,0,1,0, ,0,1,1.1039
4,2,1,10,3,3,5,5,5,5,5,5,1,5,3,4,5,5,4,3,3,5,5,5,3,5,7,10,4,5,2,2,1,7,1,2,6,2,1,6,3,1,2,1,4,5,15,4,4, ,0,0,0,0,0,1, ,1,1,708
6,2,1,4,3,3,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,3,32,5,7,3,3,7,3,106,1,5,2,1,6,4,1,4,1,4,27,15,4.666666666666667,5,2,0,0,0,0,0,1, ,1,1,708
2,2,1,4,1,3,5,5,5,5,5,5,2,5,2,4,4,5,4,2,3,3,3,3,3,3,3,10,4,5,2,2,1,7,105,3,3,6,1,3,3,1,5,1,4,7,25,4,2.75,1,0,1,0,0,0,1,2,1,1,708
2,2,1,4,1,3,5,5,5,5,5,5,3,5,1,4,5,5,4,3,3,3,3,3,3,3,45,10,4,5,2,2,1,7,1,2,5,6,1,7,4,1,5,1,4,7,25,4.333333333333333,2.75,1,0,1,0,0,0,1,2,1,1,708
2,2,1,4,1,3,5,5,5,5,5,5,1,5,2,4,5,5,4,2,3,3,3,3,3,3,51,10,4,5,2,2,1,7,1,3,5,5,1,7,1,1,5,1,2,7,25,4,2.75,1,0,1,0,0,0,1,2,1,1,708
2,2,1,4,3,3,5,5,5,5,5,5,1,5,2,4,5,5,4,3,4,2,2,2,3,3,3,2,1,1,2,2,1,3,1,1,2,5,1,5,4,1,5,1,1,21,25,4,2625,1,0,1,0,0,0,1,2,1,1,708
2,2,1,6,3,3,5,5,5,5,5,5,4,5,2,5,5,5,5,2,4,3,3,3,3,3,3,11,5,5,2,2,1,3,1,3,5,5,1,5,3,1,1,1,1,21,25,4.833333333333333,2875,1,0,1,0,0,0,1,2,1,1,708
2,2,1,4,3,3,5,5,5,5,5,5,2,5,2,5,5,5,5,2,5,2,2,2,3,3,22,3,4,5,2,2,1,3,1,1,5,2,1,3,4,1,1,1,5,21,25,4.5,2625,1,0,1,0,0,0,1,2,1,1,708
3,2,1,9,1,3,5,5,5,5,5,5,1,5,1,5,5,5,5,1,3,3,3,3,3,3,32,10,4,5,1,1,1,7,85,2,4,4,4,6,3,1,4,1,4,29,25,4.333333333333333,2.5,1,0,0,1,0,0,1,3,1,1,708
3,2,1,9,1,3,5,5,5,5,5,5,1,5,1,5,5,5,5,3,3,3,3,3,2,4,32,10,4,5,3,3,3,7,9,3,4,5,1,6,4,1,4,1,5,29,25,4.333333333333333,2.75,1,0,0,1,0,0,1,3,1,1,708
